"","text","data.label"
"1","banyak otak manusia yang hancur gara gara corona ku liat liat sian banar km sabar lah","Negatif"
"2","segera anjak dari neger ini hai corona sudah cukup kau berik didik kepada kami betapa penting hidup peduli satu sama lain betapa penting sehat dan hidup selalu bersih utama syukur dalam segala hal selamat jalan covid","Positif"
"3","pas ada corona byk hal yg jd sakit ga ngotakhem","Negatif"
"4","corona kapan selese ak mau nonton konser anjim","Negatif"
"5","pemerintah plin plan ngasih izin mudik nggak itu lucu tapi lebih lucu lagi kalo kasih izin mudik trus corona naik nanti yang disalahin pemerintah lagi lucu emang manusia gak pemerintah gak masyarakat","Negatif"
"6","anjing kgn ms belum ada corona","Negatif"
"7","bentar lg puasa trs lebaran lgtapi knp di negara indonesia cinta ini corona gak hilangkapan hilang ny corona di indonesiamasyarakat pingin damai seperti mula lg ","Negatif"
"8","corona bisa yuk selese","Positif"
"9","corona jelek ayo udahan en nonton konser","Negatif"
"10","positif corona negatif miskin pls lahhhh corona cepetan kelar gue gamau nambah bias ","Negatif"
"11","di depok orang orang nya bener bener gamake masker rasa corona gaada ya ampyon","Negatif"
"12","kalo tiba who ngomong nyata virus corona itu tidak bahaya dan tidak usah di takut sumpah aku ngakak dan tawa di depan mereka yg freak ","Negatif"
"13","bngsttt dlu padahal mau nonton konser lauv tp gajadii dan untung blm beli tiket nya gara” corona ajggg sama gara” mau un juga si","Negatif"
"14","gue angkat corona karna online mungkin ya temen kuliah dpt ip atas tp goblok gabisa nyusun makalahlaporan itu ip buat pajang doang yah ","Negatif"
"15","udah mau ramadan dua di era corona kok ya masih aja ada yang debat teraweh di masjid vs di rumah","Negatif"
"16","gue interview sana sini sampe ada tahap offering ditawarin gaji rendah bgt mentang lg corona sangka gue bakal ambil kali ya yeu wkwk maap ya gue idealis","Negatif"
"17","akhir gue bikin surat undur diri yang harus itu ga perlu dilakuin krn gue habis kontrak bukan resign sampe manager bahkan expat gue marah haha bodo amat saking idealis gue jd pengagguran tengah corona mei ","Negatif"
"18","semenjak si kampret corona datangibadah paskah tidak seasik dulu","Negatif"
"19","rasa sekarang sudah seperti biasa ya dah gk peduli corona lagi libur jalan terus klo pake angkut umum asal ada hasil tes negatif jg hajar aja","Negatif"
"20","pemerintah kita kok suka bgt sih sama nmnya simbolis apa apa ada simbolis ceremonial lah gak habis pikir aja sampe ada simbolis tugu corona di pekanbaru ","Negatif"
"21","hehehehehe gak terima jamaah haji indonesia masih kena banyak kasus corona yeh ","Negatif"
"22","emang org org yg mikirnya aneh tetep ada aja walau uda dikurangin lewat corona ya ","Negatif"
"23","ngatain orang yang lulus jalur corona eh malah jadi calon lulus corona season ","Negatif"
"24","jujurly dengerin kata mutasi ini kok sangat horor ya ingat covid aja udah ngeri apalagi versi mutasi ","Negatif"
"25","tolong lah corona bentar lagi puasa jangan jadi halang buat ngabuburit ah sial","Negatif"
"26","ga bener banget sekolah online wkwk moga corona cepet selesai dan hidup pulih seperti sedia kala kasi juga liat soal sekolah anak sdsmp sekarang jadi takut nanti kalo punya anak gimana","Negatif"
